id,app_label,model
1,admin,logentry
2,auth,permission
3,auth,group
4,contenttypes,contenttype
5,sessions,session
6,user,customuser
7,landmark,landmark
8,exercise,exercise
9,form,form
10,question,question
11,response,response
12,session,session
13,formSession,formsession
14,journal,journal
15,authtoken,token
16,authtoken,tokenproxy
17,formQuestion,formquestion
18,gender,gender
19,department,department
20,django_rest_passwordreset,resetpasswordtoken
21,optionSet,optionset
22,option,option
23,emotion,emotion
24,color,color
25,userSession,usersession
26,journalEmotion,journalemotion
