id,Response,QuestionID_id,SessionID_id
532,d,1,58
533,d,2,58
534,d,3,58
535,4,5,58
536,1,6,58
537,1,7,58
538,great,38,58
539,r,39,58
540,r,40,58
541,nope,41,58
542,e,42,58
543,Good,43,58
596,4,9,58
597,2,10,58
598,2,11,58
599,4,12,58
600,4,13,58
601,3,14,58
602,2,15,58
603,3,16,58
604,4,17,58
605,4,18,58
606,2,19,58
607,2,20,58
608,2,21,58
609,4,22,58
610,3,23,58
611,2,24,58
612,3,25,58
613,4,26,58
614,4,27,58
615,4,28,58
616,4,29,58
617,1,30,58
618,4,31,58
619,4,32,58
620,3,33,58
621,3,34,58
622,4,35,58
623,4,36,58
624,4,37,58
625,4,38,58
626,4,39,58
627,4,9,58
628,4,10,58
629,4,11,58
630,4,12,58
631,4,13,58
632,4,14,58
633,4,15,58
634,4,16,58
635,4,17,58
636,4,18,58
637,4,19,58
638,4,20,58
639,4,21,58
640,4,22,58
641,3,23,58
642,2,24,58
643,4,25,58
644,3,26,58
645,3,27,58
646,3,28,58
647,3,29,58
648,5,1,58
649,5,2,58
650,5,3,58
651,0,4,58
652,2,5,58
653,ddd,6,58
654,yes,7,58
655,2,8,58
656,est,40,58
657,set,41,58
658,tse,42,58
659,2,30,58
660,4,31,58
661,4,32,58
662,4,33,58
663,4,34,58
664,4,35,58
665,4,36,58
666,4,37,58
667,4,38,58
668,4,39,58
669,4,9,58
670,4,10,58
671,4,11,58
672,4,12,58
673,4,13,58
674,4,14,58
675,4,15,58
676,4,16,58
677,4,17,58
678,4,18,58
679,4,19,58
680,4,20,58
681,4,21,58
682,4,22,58
683,4,23,58
684,4,24,58
685,4,25,58
686,4,26,58
687,4,27,58
688,4,28,58
689,4,29,58
692,5,1,58
693,3,2,58
694,4,3,58
695,0,4,58
696,4,5,58
697,"sdgdsg
dsgdsg",6,58
698,sdg,7,58
699,2,8,58
700,sdgd,40,58
701,dfg,41,58
702,dfg,42,58
703,sad,50,58
704,3,9,58
705,4,10,58
706,4,11,58
707,4,12,58
708,4,13,58
709,4,14,58
710,4,15,58
711,4,16,58
712,4,17,58
713,1,18,58
714,3,19,58
715,3,20,58
716,4,21,58
717,4,22,58
718,4,23,58
719,4,24,58
720,4,25,58
721,3,26,58
722,3,27,58
723,4,28,58
724,3,29,58
725,3,30,58
726,3,31,58
727,4,32,58
728,2,33,58
729,4,34,58
730,3,35,58
731,4,36,58
732,4,37,58
733,4,38,58
734,4,39,58
735,dsadsa,50,58
736,sad,50,58
737,3,30,58
738,3,31,58
739,4,32,58
740,4,33,58
741,4,34,58
742,4,35,58
743,4,36,58
744,4,37,58
745,4,38,58
746,4,39,58
747,4,9,58
748,4,10,58
